company_code,document_number,description,payment_type,amount,currency_code,transaction_type,seller_number,customer_number,main_account,desc_length,desc_has_numbers,desc_uppercase_ratio,has_tckn,has_vkn,has_tckn_or_vkn,has_hvl,has_int,has_cepsube,has_komisyon,has_ucret,has_masraf,has_odeme,has_tahsilat,has_havale,has_virman,has_fatura,has_cek,has_eft,has_company_name,number_count,has_dash,has_dot,amount_log,amount_range,trans_pay_combo,company_group,doc_number_first_digit,doc_number_length,is_check_transaction,is_eft_transaction,is_transfer,is_high_amount,desc_suggests_seller,desc_suggests_customer,expects_seller,expects_customer,expects_main_account,payment_type_encoded,transaction_type_encoded,trans_pay_combo_encoded,amount_range_encoded,company_group_encoded,doc_number_first_digit_encoded,company_code_encoded
1504,4200004757,NOLUCEKODEMESIICINVIRMANTCKN:VKN:,S,500000.0,TRY,NCHK,,,1020101022.0,33,0,0.9393939393939394,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,13.122365377402328,xlarge,NCHK_S,group_A,4,10,1,0,0,0,0,1,1,0,0,1,1,1,5,0,0,1504
1504,4200004760,NOLUCEKODEMESIICINVIRMANTCKN:VKN:,S,500000.0,TRY,NCHK,,,1020101022.0,33,0,0.9393939393939394,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,13.122365377402328,xlarge,NCHK_S,group_A,4,10,1,0,0,0,0,1,1,0,0,1,1,1,5,0,0,1504
1504,4200004761,NOLUCEKODEMESIICINVIRMANTCKN:VKN:,S,550000.0,TRY,NCHK,,,1020101022.0,33,0,0.9393939393939394,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,13.217675375388819,xlarge,NCHK_S,group_A,4,10,1,0,0,1,0,1,1,0,0,1,1,1,5,0,0,1504
1504,4200004776,KESINTIVEEKLERI-TCKN:VKN:,S,44.32,TRY,NEFT,,,7800150001.0,25,0,0.88,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.8137484361598055,micro,NEFT_S,group_A,4,10,0,1,0,0,0,0,1,0,0,1,2,3,3,0,0,1504
1504,4200004752,THEHESABAHAVALEKOMISYONU-KOMTCKN:VKN:,S,13.53,TRY,NTRF,,,7800150001.0,37,0,0.918918918918919,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2.6762154775821916,micro,NTRF_S,group_A,4,10,0,0,1,0,0,0,1,0,0,1,6,10,3,0,0,1504
1504,4200004753,THEEFTKOMISYONU-KOMTCKN:VKN:,S,26.58,TRY,NTRF,,,7800150001.0,28,0,0.8928571428571429,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,3.3170908723651555,micro,NTRF_S,group_A,4,10,0,0,1,0,0,0,1,0,0,1,6,10,3,0,0,1504
1501,4200000901,EF7217698GIRIFTMEDYAANONIMSIRKETI-PLR,H,200000.0,TRY,NEFT,,1200119167.0,,37,1,0.7837837837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,12.206077645517674,xlarge,NEFT_H,group_B,4,10,0,1,0,0,0,0,0,1,0,0,2,2,5,1,0,1501
1501,4200000902,EF7221752MEDIATICMEDYAA.S.-PLREKLAMCIL,H,132081.38,TRY,NEFT,,1200112795.0,,38,1,0.7368421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,11.791181097813855,xlarge,NEFT_H,group_B,4,10,0,1,0,0,0,0,0,1,0,0,2,2,5,1,0,1501
1501,4200000903,EF0042505SEKORGANIZASYONMUHINS.GIDAVE,H,242000.0,TRY,NEFT,,1200115157.0,,37,1,0.7837837837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,12.396697137361691,xlarge,NEFT_H,group_B,4,10,0,1,0,0,0,0,0,1,0,0,2,2,5,1,0,1501
1501,4200000905,EF0405921MEHMET ALTINELTURISTIKTESISL,H,157025.01,TRY,NEFT,,1200108745.0,,37,1,0.7837837837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11.964166739398696,xlarge,NEFT_H,group_B,4,10,0,1,0,0,0,0,0,1,0,0,2,2,5,1,0,1501
